REF_AREA,TIME_PERIOD,value
AFG,2020,38972.2305
AGO,2020,33428.486
ALB,2020,2866.8485
AND,2020,77.7
ARE,2020,9287.289
ARG,2020,45036.032
ARM,2020,2805.6085
ATG,2020,92.664
AUS,2020,25670.0505
AUT,2020,8907.777
AZE,2020,10284.951
BDI,2020,12220.2265
BEL,2020,11561.7165
BEN,2020,12643.123
BFA,2020,21522.626
BGD,2020,167420.9505
BGR,2020,6979.1745
BHR,2020,1477.469
BHS,2020,406.4715
BIH,2020,3318.4075
BLR,2020,9633.7405
BLZ,2020,394.9205
BOL,2020,11936.162
BRA,2020,213196.3035
BRB,2020,280.693
BRN,2020,441.725
BTN,2020,772.506
BWA,2020,2546.402
CAF,2020,5343.02
CAN,2020,37888.705
CHE,2020,8638.613
CHL,2020,19300.3145
CHN,2020,1424929.781
CIV,2020,26811.7905
CMR,2020,26491.0865
COD,2020,92853.1645
COG,2020,5702.174
COL,2020,50930.6625
COM,2020,806.166
CPV,2020,582.64
CRI,2020,5123.105
CUB,2020,11300.698
CYP,2020,1237.537
CZE,2020,10530.9535
DEU,2020,83328.9875
DJI,2020,1090.156
DMA,2020,71.9945
DNK,2020,5825.641
DOM,2020,10999.6635
DZA,2020,43451.666
ECU,2020,17588.5955
EGY,2020,107465.134
ERI,2020,3555.868
ESP,2020,47363.807
EST,2020,1329.444
ETH,2020,117190.911
FIN,2020,5529.468
FJI,2020,920.422
FRA,2020,64480.053
FSM,2020,112.1065
GAB,2020,2292.573
GBR,2020,67059.474
GEO,2020,3765.912
GHA,2020,32180.4015
GIN,2020,13205.1525
GMB,2020,2573.995
GNB,2020,2015.828
GNQ,2020,1596.0485
GRC,2020,10512.232
GRD,2020,123.663
GTM,2020,17362.7185
GUY,2020,797.202
HND,2020,10121.763
HRV,2020,4096.8695
HTI,2020,11306.8015
HUN,2020,9750.5725
IDN,2020,271857.9705
IND,2020,1396387.127
IRL,2020,4946.119
IRN,2020,87290.1925
IRQ,2020,42556.9835
ISL,2020,366.669
ISR,2020,8757.4895
ITA,2020,59500.5785
JAM,2020,2820.4355
JOR,2020,10928.721
JPN,2020,125244.7605
KAZ,2020,18979.243
KEN,2020,51985.78
KGZ,2020,6424.874
KHM,2020,16396.8605
KIR,2020,126.4635
KNA,2020,47.6425
KOR,2020,51844.6905
KWT,2020,4360.4445
LAO,2020,7319.399
LBN,2020,5662.9235
LBR,2020,5087.5845
LBY,2020,6653.942
LCA,2020,179.2365
LIE,2020,38.756
LKA,2020,21715.0795
LSO,2020,2254.1
LTU,2020,2820.2665
LUX,2020,630.3995
LVA,2020,1897.052
MAR,2020,36688.7715
MCO,2020,36.922
MDA,2020,3084.847
MDG,2020,28225.1765
MDV,2020,514.438
MEX,2020,125998.3015
MHL,2020,43.4135
MKD,2020,2111.0715
MLI,2020,21224.04
MLT,2020,515.358
MMR,2020,53423.198
MNE,2020,629.0475
MNG,2020,3294.335
MOZ,2020,31178.239
MRT,2020,4498.6035
MUS,2020,1297.8275
MWI,2020,19377.0615
MYS,2020,33199.993
NAM,2020,2489.098
NER,2020,24333.6385
NGA,2020,208327.4045
NIC,2020,6755.8955
NLD,2020,17434.5575
NOR,2020,5379.839
NPL,2020,29348.6275
NRU,2020,12.315
NZL,2020,5061.1335
OMN,2020,4543.3985
PAK,2020,227196.7405
PAN,2020,4294.3965
PER,2020,33304.756
PHL,2020,112190.9775
PLW,2020,17.972
PNG,2020,9749.64
POL,2020,38428.3665
PRK,2020,25867.467
PRT,2020,10298.1915
PRY,2020,6618.695
PSE,2020,5019.4015
QAT,2020,2760.385
ROU,2020,19442.0385
RUS,2020,145617.3285
RWA,2020,13146.3615
SAU,2020,35997.1065
SDN,2020,44440.486
SEN,2020,16436.12
SGP,2020,5909.8695
SLB,2020,691.1905
SLE,2020,8233.9705
SLV,2020,6292.731
SMR,2020,34.007
SOM,2020,16537.0155
SRB,2020,7358.0045
SSD,2020,10606.227
STP,2020,218.641
SUR,2020,607.065
SVK,2020,5456.6805
SVN,2020,2117.641
SWE,2020,10368.9695
SWZ,2020,1180.655
SYC,2020,105.53
SYR,2020,20772.5955
TCD,2020,16644.7015
TGO,2020,8442.58
THA,2020,71475.6645
TJK,2020,9543.207
TKM,2020,6250.438
TLS,2020,1299.995
TON,2020,105.254
TTO,2020,1518.147
TUN,2020,12161.723
TUR,2020,84135.4275
TUV,2020,11.069
TZA,2020,61704.518
UGA,2020,44404.611
UKR,2020,43909.6665
URY,2020,3429.0865
USA,2020,335942.0035
UZB,2020,33526.6565
VCT,2020,104.6325
VEN,2020,28490.4535
VNM,2020,96648.6845
VUT,2020,311.685
WSM,2020,214.9295
XKX,2020,1670.6985
YEM,2020,32284.0455
ZAF,2020,58801.9265
ZMB,2020,18927.715
ZWE,2020,15669.666
