iso3;maternal_min_wrr_ilo;ATTR_ENDPOINT
AFG;5;nan
ALB;3;nan
DZA;5;nan
AND;5;nan
AGO;5;nan
ATG;3;nan
ARG;5;nan
ARM;2;nan
AUS;2;nan
AUT;2;nan
AZE;2;nan
BHS;5;nan
BHR;5;nan
BGD;5;nan
BRB;5;nan
BLR;3;nan
BEL;2;nan
BLZ;5;nan
BEN;5;nan
BTN;5;nan
BOL;2;nan
BIH;3;nan
BWA;3;nan
BRA;5;nan
BRN;5;nan
BGR;5;nan
BFA;5;nan
BDI;5;nan
KHM;3;nan
CMR;5;nan
CAN;3;nan
CPV;5;nan
CAF;3;nan
TCD;3;nan
CHL;5;nan
CHN;2;nan
COL;5;nan
COM;5;nan
CRI;4;nan
CIV;5;nan
HRV;2;nan
CUB;3;nan
CYP;4;nan
CZE;4;nan
PRK;5;nan
COD;4;nan
DNK;4;nan
DJI;5;nan
DMA;3;nan
DOM;5;nan
ECU;5;nan
EGY;5;nan
SLV;5;nan
GNQ;2;nan
ERI;5;nan
EST;5;nan
SWZ;5;nan
ETH;5;nan
FJI;3;nan
FIN;2;nan
FRA;5;nan
GAB;5;nan
GEO;5;nan
DEU;3;nan
GHA;5;nan
GRC;2;nan
GRD;3;nan
GTM;5;nan
GIN;5;nan
GNB;5;nan
GUY;4;nan
HTI;5;nan
HND;5;nan
HUN;2;nan
ISL;5;nan
IND;5;nan
IDN;5;nan
IRN;4;nan
IRQ;5;nan
IRL;2;nan
ISR;5;nan
ITA;3;nan
JAM;5;nan
JPN;3;nan
JOR;5;nan
KAZ;5;nan
KEN;5;nan
KIR;3;nan
KWT;5;nan
KGZ;2;nan
LAO;5;nan
LVA;3;nan
LBN;5;nan
LSO;5;nan
LBR;5;nan
LBY;5;nan
LIE;5;nan
LTU;3;nan
LUX;2;nan
MDG;5;nan
MWI;5;nan
MYS;5;nan
MDV;5;nan
MLI;5;nan
MLT;2;nan
MHL;1;nan
MRT;5;nan
MUS;5;nan
MEX;5;nan
FSM;1;nan
MDA;2;nan
MCO;5;nan
MNG;4;nan
MNE;3;nan
MAR;5;nan
MOZ;5;nan
MMR;4;nan
NAM;5;nan
NRU;1;nan
NPL;5;nan
NZL;5;nan
NIC;5;nan
NER;5;nan
NGA;3;nan
MKD;5;nan
NOR;5;nan
OMN;5;nan
PAK;5;nan
PLW;1;nan
PAN;5;nan
PNG;1;nan
PRY;3;nan
PER;5;nan
POL;3;nan
PRT;3;nan
QAT;5;nan
KOR;3;nan
COG;5;nan
ROU;4;nan
RUS;2;nan
RWA;3;nan
WSM;4;nan
SMR;3;nan
STP;5;nan
SAU;3;nan
SEN;5;nan
SRB;3;nan
SYC;5;nan
SLE;5;nan
SGP;5;nan
SVK;2;nan
SVN;2;nan
SLB;3;nan
SOM;3;nan
ZAF;3;nan
SSD;5;nan
ESP;5;nan
LKA;5;nan
KNA;3;nan
LCA;3;nan
VCT;3;nan
SDN;5;nan
SUR;1;nan
SWE;2;nan
CHE;5;nan
SYR;5;nan
TJK;2;nan
TZA;5;nan
THA;5;nan
GMB;5;nan
NLD;5;nan
PHL;5;nan
TLS;5;nan
TGO;5;nan
TON;1;nan
TTO;3;nan
TUN;4;nan
TUR;4;nan
TKM;2;nan
TUV;3;nan
UGA;5;nan
UKR;2;nan
ARE;3;nan
GBR;2;nan
USA;1;nan
URY;5;nan
UZB;2;nan
VUT;4;nan
VEN;5;nan
VNM;5;nan
YEM;5;nan
ZMB;5;nan
ZWE;5;nan
